"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
23743;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-02-20";"Anaphylaxis v4.0";"2026-01-14";"Yes";"2026-01-14"
5685;"Nursing and Midwifery Registered";"Staff Nurse";"2025-09-25";"Anaphylaxis v4.0";"2025-09-08";"Yes";"2025-09-08"
72084;"Medical and Dental";"Specialty Registrar";"2026-01-22";"Anaphylaxis v4.0";"2025-06-18";"Yes";"2025-06-18"
83499;"Additional Clinical Services";"Student Nursing Associate";"2025-10-13";"Anaphylaxis v4.0";"2025-05-19";"Yes";"2025-05-19"
82221;"Additional Clinical Services";"Healthcare Assistant";"2026-02-16";"Anaphylaxis v4.0";"2025-12-13";"Yes";"2025-12-13"
88789;"Medical and Dental";"Specialty Registrar";"2026-03-25";"Anaphylaxis v4.0";"2025-06-12";"No";""
75118;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-30";"Anaphylaxis v4.0";"2026-02-11";"Yes";"2026-02-11"
93687;"Nursing and Midwifery Registered";"Staff Nurse";"2025-08-18";"Anaphylaxis v4.0";"2025-07-31";"No";""
87205;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-08";"Anaphylaxis v4.0";"2025-07-29";"Yes";"2025-07-29"
62490;"Allied Health Professionals";"Radiographer - Diagnostic";"2025-08-30";"Anaphylaxis v4.0";"2025-06-30";"Yes";"2025-07-11"
47352;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-27";"Anaphylaxis v4.0";"2026-02-12";"Yes";"2026-02-26"
76561;"Add Prof Scientific and Technic";"Technician";"2026-02-27";"Anaphylaxis v4.0";"2025-12-19";"Yes";"2025-12-19"
31195;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-04-02";"Yes";"2025-04-02"
80296;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-13";"Anaphylaxis v4.0";"2025-10-11";"Yes";"2025-10-11"
33101;"Allied Health Professionals";"Radiographer - Diagnostic";"2025-11-26";"Anaphylaxis v4.0";"2025-10-01";"Yes";"2025-10-01"
87206;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-09-08";"Yes";"2025-09-08"
78126;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-14";"Anaphylaxis v4.0";"2026-03-23";"Yes";"2026-03-24"
89526;"Add Prof Scientific and Technic";"Technician";"2026-04-10";"Anaphylaxis v4.0";"2025-12-30";"Yes";"2025-12-30"
90219;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-06";"Anaphylaxis v4.0";"2025-09-30";"Yes";"2025-09-30"
77354;"Additional Clinical Services";"Health Care Support Worker";"2026-04-01";"Anaphylaxis v4.0";"2025-12-05";"Yes";"2025-12-05"
72305;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-08";"Anaphylaxis v4.0";"2025-09-15";"Yes";"2025-09-15"
25612;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-14";"Anaphylaxis v4.0";"2025-09-24";"Yes";"2025-09-24"
91542;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-14";"Anaphylaxis v4.0";"2026-04-08";"Yes";"2026-04-08"
47381;"Nursing and Midwifery Registered";"Community Nurse";"2026-01-29";"Anaphylaxis v4.0";"2025-05-01";"No";""
96541;"Nursing and Midwifery Registered";"Midwife";"2026-04-14";"Anaphylaxis v4.0";"2026-04-13";"Yes";"2026-04-13"
80057;"Additional Clinical Services";"Healthcare Assistant";"2026-04-01";"Anaphylaxis v4.0";"2026-01-14";"No";""
79952;"Add Prof Scientific and Technic";"Technician";"2025-10-01";"Anaphylaxis v4.0";"2025-05-02";"Yes";"2025-05-02"
80202;"Additional Clinical Services";"Nursing Associate";"2026-03-07";"Anaphylaxis v4.0";"2025-06-27";"Yes";"2025-06-30"
73024;"Nursing and Midwifery Registered";"Community Nurse";"2026-03-03";"Anaphylaxis v4.0";"2026-02-08";"Yes";"2026-02-08"
86693;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-10";"Anaphylaxis v4.0";"2025-06-11";"Yes";"2025-06-11"
80388;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-11";"Anaphylaxis v4.0";"2025-03-27";"Yes";"2025-04-07"
